address;type;offset1;offset2;offset3;offset4;lat;longt
0;0;0;0;0;0;0;0
1;0;0;0;0;0;44,3417138;9,3754363
2;0;0;0;0;0;44,3410232;9,3762732
3;0;0;0;0;0;44,3408544;9,3771958
4;0;0;0;0;0;44,3407162;9,3781829
5;0;0;0;0;0;44,3405474;9,3793845
6;0;0;0;0;0;44,3403326;9,3805218
7;0;0;0;0;0;44,3401177;9,3817449
8;0;0;0;0;0;44,3399029;9,3829679
9;0;0;0;0;0;44,3397494;9,3840623
10;0;0;0;0;0;44,3395192;9,385221
11;0;0;0;0;0;44,338936;9,3850064
12;0;0;0;0;0;44,3390742;9,3838263
13;0;0;0;0;0;44,3393504;9,3826032
14;0;0;0;0;0;44,3395806;9,3814874
15;0;0;0;0;0;44,3398108;9,3803287
16;0;0;0;0;0;44,340041;9,3792129
17;0;0;0;0;0;44,3401945;9,3780971
18;0;0;0;0;0;44,3403326;9,3770242
19;0;0;0;0;0;44,3405014;9,3759942
20;0;0;0;0;0;44,3406855;9,3748999
21;0;0;0;0;0;44,3402558;9,3746424
22;0;0;0;0;0;44,340087;9,375844
23;0;0;0;0;0;44,3398875;9,3768525
24;0;0;0;0;0;44,3397341;9,3779039
25;0;0;0;0;0;44,3395039;9,3790197
26;0;0;0;0;0;44,339335;9,3800712
27;0;0;0;0;0;44,3391662;9,3812728
28;0;0;0;0;0;44,33889;9,3823671
29;0;0;0;0;0;44,3386598;9,3836117
30;0;0;0;0;0;44,3383221;9,3846416
31;0;0;0;0;0;44,337739;9,38447
32;0;0;0;0;0;44,3381533;9,3833542
33;0;0;0;0;0;44,3384449;9,3820667
34;0;0;0;0;0;44,3386905;9,3809724
35;0;0;0;0;0;44,3389207;9,379878
36;0;0;0;0;0;44,3391202;9,3787837
37;0;0;0;0;0;44,339243;9,3776464
38;0;0;0;0;0;44,3394885;9,3766594
39;0;0;0;0;0;44,339688;9,3754792
40;0;0;0;0;0;44,3398568;9,374299
41;0;0;0;0;0;44,339289;9,3740845
42;0;0;0;0;0;44,3391355;9,3751359
43;0;0;0;0;0;44,3389974;9,3762732
44;0;0;0;0;0;44,3388133;9,3773246
45;0;0;0;0;0;44,3386137;9,3784618
46;0;0;0;0;0;44,3385063;9,3795562
47;0;0;0;0;0;44,3382761;9,3806934
48;0;0;0;0;0;44,3379845;9,3818736
49;0;0;0;0;0;44,3377697;9,3830538
50;0;0;0;0;0;44,3374013;9,3842125
51;0;0;0;0;0;44,3369562;9,3841052
52;0;0;0;0;0;44,3372939;9,3829036
53;0;0;0;0;0;44,3376008;9,3816376
54;0;0;0;0;0;44,3377236;9,3804359
55;0;0;0;0;0;44,3380306;9,3794274
56;0;0;0;0;0;44,3382147;9,3782043
57;0;0;0;0;0;44,3384449;9,3770456
58;0;0;0;0;0;44,3385984;9,3759727
59;0;0;0;0;0;44,3386137;9,3750072
60;0;0;0;0;0;44,3388746;9,3738055
