address;type;offset1;offset2;offset3;offset4;lat;longt
0;0;0;0;0;0;0;0
1;0;0;0;0;0;44,3101458;9,3327355
2;0;0;0;0;0;44,3107063;9,3334544
3;0;0;0;0;0;44,3113818;9,3341196
4;0;0;0;0;0;44,3118271;9,3348169
5;0;0;0;0;0;44,3123184;9,3356001
6;0;0;0;0;0;44,3127714;9,3364048
7;0;0;0;0;0;44,3132473;9,3373489
8;0;0;0;0;0;44,3137233;9,3382716
9;0;0;0;0;0;44,3141762;9,3390977
10;0;0;0;0;0;44,3146752;9,3398917
11;0;0;0;0;0;44,3152663;9,3408251
12;0;0;0;0;0;44,3157576;9,3415868
13;0;0;0;0;0;44,3162489;9,3423378
14;0;0;0;0;0;44,3168246;9,3430352
15;0;0;0;0;0;44,317385;9,3437111
16;0;0;0;0;0;44,318168;9,3443978
17;0;0;0;0;0;44,3188972;9,3450415
18;0;0;0;0;0;44,3197953;9,3457389
19;0;0;0;0;0;44,3206243;9,3463826
20;0;0;0;0;0;44,32153;9,3469191
21;0;0;0;0;0;44,3224588;9,3473053
22;0;0;0;0;0;44,3233952;9,3477023
23;0;0;0;0;0;44,3244007;9,3479919
24;0;0;0;0;0;44,3253755;9,3482387
25;0;0;0;0;0;44,3263809;9,348464
26;0;0;0;0;0;44,3274554;9,3486035
27;0;0;0;0;0;44,3284301;9,3488181
28;0;0;0;0;0;44,3293588;9,3487322
29;0;0;0;0;0;44,3303335;9,3486893
30;0;0;0;0;0;44,3313925;9,3486035
31;0;0;0;0;0;44,3322367;9,3485928
32;0;0;0;0;0;44,333173;9,348743
33;0;0;0;0;0;44,3339634;9,3491614
34;0;0;0;0;0;44,3346311;9,3496549
35;0;0;0;0;0;44,3353217;9,3501484
36;0;0;0;0;0;44,3360507;9,3506205
37;0;0;0;0;0;44,3368104;9,3510818
38;0;0;0;0;0;44,3376162;9,3515646
39;0;0;0;0;0;44,3385447;9,3521869
40;0;0;0;0;0;44,3394501;9,3528092
41;0;0;0;0;0;44,3401791;9,3535495
42;0;0;0;0;0;44,3406855;9,354279
43;0;0;0;0;0;44,3412994;9,3552768
44;0;0;0;0;0;44,3418672;9,3561029
45;0;0;0;0;0;44,3424197;9,3570149
46;0;0;0;0;0;44,3430182;9,3577659
47;0;0;0;0;0;44,3437011;9,3584418
48;0;0;0;0;0;44,3443225;9,3590426
49;0;0;0;0;0;44,3450208;9,3595898
50;0;0;0;0;0;44,3458724;9,3603408
51;0;0;0;0;0;44,3468008;9,3607593
52;0;0;0;0;0;44,3475297;9,3611133
53;0;0;0;0;0;44,3481588;9,3614995
54;0;0;0;0;0;44,3488186;9,3617678
55;0;0;0;0;0;44,3494861;9,3619394
56;0;0;0;0;0;44,3501305;9,3620682
57;0;0;0;0;0;44,3508824;9,3622506
58;0;0;0;0;0;44,3515882;9,3619287
59;0;0;0;0;0;44,3522863;9,3614888
60;0;0;0;0;0;44,3526469;9,3607056
